name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S6-glyme-elecmin,Na2S6,,Na–S–Na,95.87,Glyme,False,False,4,95.78,14.32,12.41,7.16,0.00
Na2S6-glyme-elecmin,Na2S6,,S–S–Na,75.40,Glyme,False,False,28,60.33,27.94,27.43,5.28,1.27
Na2S6-glyme-vdw,Na2S6,,S–Na–Na,52.42,Glyme,True,True,10,44.24,21.02,19.94,6.65,1.39
Na2S6-glyme-vdw,Na2S6,,Na–S–Na,94.11,Glyme,True,True,4,93.94,14.02,12.14,7.01,0.00
Na2S6-glyme-vdw,Na2S6,,S–Na–S,58.15,Glyme,True,True,20,63.31,19.83,19.32,4.43,0.25
Na2S6-glyme-vdw,Na2S6,,S–S–Na,78.87,Glyme,True,True,24,70.04,28.63,28.03,5.84,1.06
Na2S6-glyme-vdw,Na2S6,,S–S–S,76.02,Glyme,True,True,10,98.36,36.29,34.42,11.47,-0.42
Na2S6-glyme-vdw-elecmin,Na2S6,,S–S–S,76.03,Glyme,False,True,10,98.46,36.27,34.41,11.47,-0.43
Na2S6-glyme-vdw-elecmin,Na2S6,,S–Na–Na,52.31,Glyme,False,True,10,44.11,20.99,19.92,6.64,1.39
Na2S6-glyme-vdw-elecmin,Na2S6,,S–S–Na,78.87,Glyme,False,True,24,70.18,28.61,28.01,5.84,1.06
Na2S6-glyme-vdw-elecmin,Na2S6,,S–Na–S,58.12,Glyme,False,True,20,63.29,19.82,19.32,4.43,0.25
Na2S6-glyme-vdw-elecmin,Na2S6,,Na–S–Na,94.32,Glyme,False,True,4,94.11,13.91,12.05,6.96,0.01
Na2S6-vdw,Na2S6,,S–Na–Na,55.99,Vacuum,True,True,10,45.41,21.83,20.71,6.90,1.49
Na2S6-vdw,Na2S6,,Na–S–Na,87.95,Vacuum,True,True,4,87.95,11.31,9.79,5.65,0.00
Na2S6-vdw,Na2S6,,S–Na–S,63.82,Vacuum,True,True,20,69.50,21.95,21.39,4.91,0.22
Na2S6-vdw,Na2S6,,S–S–S,76.56,Vacuum,True,True,10,100.45,36.47,34.60,11.53,-0.44
Na2S6-vdw,Na2S6,,S–S–Na,76.69,Vacuum,True,True,24,69.83,27.14,26.57,5.54,1.18
Na2S6-vdw-elecmin,Na2S6,,S–Na–Na,55.99,Vacuum,False,True,10,45.41,21.83,20.71,6.90,1.49
Na2S6-vdw-elecmin,Na2S6,,S–Na–S,63.82,Vacuum,False,True,20,69.50,21.95,21.39,4.91,0.22
Na2S6-vdw-elecmin,Na2S6,,S–S–Na,76.69,Vacuum,False,True,24,69.83,27.14,26.57,5.54,1.18
Na2S6-vdw-elecmin,Na2S6,,S–S–S,76.56,Vacuum,False,True,10,100.45,36.47,34.60,11.53,-0.44
Na2S6-vdw-elecmin,Na2S6,,Na–S–Na,87.95,Vacuum,False,True,4,87.95,11.31,9.79,5.65,0.00
Na2S8,Na2S8,,S–S–S,87.50,Vacuum,True,False,17,107.94,41.43,40.19,10.05,-0.36
Na2S8,Na2S8,,Na–S–Na,70.63,Vacuum,True,False,4,69.16,7.73,6.70,3.87,0.97
Na2S8,Na2S8,,S–S–Na,74.47,Vacuum,True,False,30,67.71,21.67,21.31,3.96,1.14
Na2S8,Na2S8,,S–Na–Na,66.41,Vacuum,True,False,12,57.89,18.43,17.64,5.32,0.99
Na2S8,Na2S8,,S–Na–S,79.69,Vacuum,True,False,30,71.69,34.31,33.73,6.26,0.43
Na2S8-PC,Na2S8,,S–Na–S,71.08,PC,True,False,2,71.08,10.53,7.44,7.44,nan
Na2S8-PC,Na2S8,,S–S–Na,111.48,PC,True,False,8,113.97,18.98,17.76,6.71,0.24
Na2S8-PC,Na2S8,,S–S–S,88.66,PC,True,False,13,105.91,38.42,36.91,10.65,-0.69
Na2S8-PC-elecmin,Na2S8,,S–S–S,88.65,PC,False,False,13,105.96,38.42,36.92,10.66,-0.69
Na2S8-PC-elecmin,Na2S8,,S–Na–S,71.08,PC,False,False,2,71.08,10.51,7.43,7.43,nan
Na2S8-PC-elecmin,Na2S8,,S–S–Na,111.48,PC,False,False,8,114.01,18.98,17.75,6.71,0.24
Na2S8-PC-vdw,Na2S8,,S–S–S,111.08,PC,True,True,6,110.10,3.67,3.35,1.50,0.40
Na2S8-PC-vdw,Na2S8,,S–S–Na,92.92,PC,True,True,15,93.44,21.23,20.51,5.48,0.85
Na2S8-PC-vdw,Na2S8,,Na–S–Na,111.23,PC,True,True,1,111.23,nan,0.00,nan,nan
Na2S8-PC-vdw,Na2S8,,S–Na–S,63.96,PC,True,True,16,68.53,20.21,19.57,5.05,-0.42
Na2S8-PC-vdw-elecmin,Na2S8,,S–Na–S,63.84,PC,False,True,16,68.23,20.18,19.54,5.04,-0.43
Na2S8-PC-vdw-elecmin,Na2S8,,Na–S–Na,111.25,PC,False,True,1,111.25,nan,0.00,nan,nan
Na2S8-PC-vdw-elecmin,Na2S8,,S–S–S,93.33,PC,False,True,9,108.62,34.50,32.53,11.50,-1.59
Na2S8-PC-vdw-elecmin,Na2S8,,S–S–Na,89.57,PC,False,True,18,91.47,21.32,20.72,5.02,0.85
